"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","basisOfRecord","reverseGeocodedName","state","tahsil","district","Sex","Life Stage","Abundance","Activity","Phenology State","Life Stage (Complete Metamorphosis)","toDate","observedInMonth"
"17727714","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/fd8e4c5b-492e-4eb6-acae-2ca66dcc89bd/15e27e5ec7df45c1995b20e2e2c1f21a.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Neptis hylas Linnaeus 1758","Common sailor:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Neptis",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727704","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/c1cbea4c-318d-4e0d-acd9-ee3360fa10f9/421fb3b2fff5449ca9e192c3cda61980.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Danaus genutia Cramer 1779","Striped Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727694","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/610f1481-3e22-429c-8369-5a7feedb3f1d/d92425c9d8624dd5a9fc12684be77bff.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Danaus genutia Cramer 1779","Striped Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727684","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/3aecbb20-8fca-4610-bf61-d50085a9b141/f19a8756f8344401b14c5c5d4a66385a.jpg","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Pachliopta hector (Linnaeus 1758)","Crimson Rose:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Pachliopta",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727674","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/23aabdf8-74c7-4cfa-8787-f5522fa4647c/0eef547b1ba04b4db8746f63a23d6aea.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Belenois aurota (Fabricius 1793)","Pioneer White:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Belenois",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727664","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/aedd334b-e0e0-406b-955d-14bf62e5873d/72346f8cb82444469c0d88b4e3ca67cb.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Elymnias hypermnestra Linnaeus 1763","Common Palmfly:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Elymnias",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727654","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/9819594e-0a38-4272-aea7-15853bfa69f3/094b4cd27883417c9187c74c70e408bd.jpg","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Danaus chrysippus Linnaeus 1758","Plain Tiger:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Danaus",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727644","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/e280143c-cec2-44c7-a8dd-99e4ff85496b/fb1e0827753f4a8ab74a3dedec1139d1.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Spindasis lohita (Horsfield 1829)","Silverline:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Spindasis",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727634","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/d27bdfc2-4daa-4e18-8e3d-3b8a0f184ac9/5b3c3e0c5f674c24b232dfeb817c5743.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Papilio polytes Linnaeus 1758","Common Mormon:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Papilio",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727624","Medha Timmanna Bhat ","Davanagere, Karnataka, India",,"1","false","16/09/2022","/e43251a2-ee5e-4112-aaaa-6f19955a2270/354f521f6199473abe59a3a146ce8bcf.JPG","Arthropods","ACCURATE","false","14.4644085","75.921758","APPROXIMATE","14/09/2022","14/09/2022","species","Pachliopta hector (Linnaeus 1758)","Crimson Rose:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Pachliopta",,"HUMAN_OBSERVATION","Davanagere, Karnataka, India","KARNATAKA","Davanagere","DAVANAGERE",,,,,,,"1663180200000","September"
"17727493","Sayak Dolai","7H2V+GQV, Khisma, West Bengal 741127",,"1","false","15/09/2022","/868bb7bb-4863-4780-8e89-1b3ac5e0ebf8/5bab3ab9adf345dc88b790163d6a1a95.JPG","Arthropods","ACCURATE","false","23.249740823324586","88.58952554732568","APPROXIMATE","26/03/2022","26/03/2022","species","Appias olferna Swinhoe 1890","Eastern Striped Albatross:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Pieridae","Appias",,"HUMAN_OBSERVATION","7H2V+GQV, Khisma, West Bengal 741127",,,,,,"Abundant",,,"Adult","1648319400000","March"
"17727475","Sayak Dolai","7H2V+GQV, Khisma, West Bengal 741127",,"1","false","15/09/2022","/c602352a-d79b-4ecd-9619-5ca6db06d167/825d329122324e4a969a6e7c23ade918.JPG","Arthropods","ACCURATE","false","23.249740823324586","88.58952554732568","APPROXIMATE","26/03/2022","26/03/2022","species","Papilio polytes Linnaeus 1758","Common Mormon:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Papilionidae","Papilio",,"HUMAN_OBSERVATION","7H2V+GQV, Khisma, West Bengal 741127",,,,,,"Abundant",,,"Adult","1648319400000","March"
"17727453","Sayak Dolai","M9J2+8XF, Hindmotor, Konnagar, Uttarpara, West Bengal 712233",,"1","false","15/09/2022","/c1cf84da-0662-4d6a-8973-f7fb86a0061c/d19443ef30b84d3fafadcdee22ea1b53.JPG","Arthropods","ACCURATE","false","22.6808162","88.35242029999999","LOCAL","25/07/2022","25/07/2022","species","Pseudozizeeria maha (Kollar (1844))","Pale Grass Blue:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Lycaenidae","Pseudozizeeria",,"HUMAN_OBSERVATION","M9J2+8XF, Hindmotor, Konnagar, Uttarpara, West Bengal 712233",,,,"Male | Female",,"Common",,,"Adult","1658773800000","July"
"17727431","Sayak Dolai","AC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",,"1","false","15/09/2022","/248d80be-1388-44c7-ae58-68432924b696/93cee5955c4d4d64bffe79d2e2d44b40.JPG","Arthropods","ACCURATE","false","22.597304375179753","88.40398919038225","ACCURATE","19/03/2022","19/03/2022","species","Charaxes solon Fabricius 1793","Black Rajah:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Charaxes",,"HUMAN_OBSERVATION","AC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",,,,,,"Occasional",,,,"1647714600000","March"
"17727396","Sayak Dolai","CCH2+P7F, Hogulkuria Rajpur Road, Ramchandrapur, Narendrapur, Kolkata, West Bengal 700103",,"1","false","15/09/2022","/6237d79a-7df4-4176-aed5-a7d864636da3/01846373c13d4339ab8f30b60d4d8d5c.JPG","Arthropods","ACCURATE","false","22.4293171","88.40068459999999","ACCURATE","28/02/2022","28/02/2022","species","Mycalesis visala Moore 1857","Long-branded Bushbrown:English","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionoidea","Nymphalidae","Mycalesis",,"HUMAN_OBSERVATION","CCH2+P7F, Hogulkuria Rajpur Road, Ramchandrapur, Narendrapur, Kolkata, West Bengal 700103","WEST BENGAL","Sonarpur","SOUTH  TWENTY FOUR PARGANAS",,,"Common",,,,"1646073000000","February"
