catalogNumber,createdBy,placeName,flagNotes,createdOn,associatedMedia,locationLat,locationLon,fromDate,rank,scientificName,commonName,state,district,observedInMonth
15035495,Sneha,"Unnamed Road, Andaman and Nicobar Islands 744302, India",,03/06/2020,/63b54836-8eb1-492b-a081-3149eba1c898/5130.jpg,7.002805031,93.93281806,09/09/2019,species,Danaus chrysippus Linnaeus 1758,,ANDAMAN & NICOBAR,Nicobars,September
15035490,Sneha,"Unnamed Road, Andaman and Nicobar Islands 744302, India",,03/06/2020,/489bdaa3-5357-43f3-ba45-c7ca4ee09d11/5128.jpg,7.003141,93.93437489,09/09/2019,family,Nymphalidae,,ANDAMAN & NICOBAR,Nicobars,September
15890550,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu, India",,28/09/2020,/da69274c-67ae-4b4e-9fb1-a24fb0b7b0b2/31316.JPG,8.1799273,77.4085149,15/09/2020,species,Euploea core Cramer 1780,Common Crow:English,TAMILNADU,Kanniyakumari,September
15890542,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,28/09/2020,/499a866b-f25a-45a3-a3fb-9b1f1a76d94e/31315.JPG,8.182606,77.406287,15/09/2020,species,Tirumala limniace (Cramer 1775),Blue Tiger:English,TAMILNADU,Kanniyakumari,September
15890537,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,28/09/2020,/ffa5f81b-2bd9-40dc-abb1-149602196a27/31314.JPG,8.182606,77.406287,15/09/2020,species,Catopsilia pomona (Fabricius 1775),Common Emigrant:English,TAMILNADU,Kanniyakumari,September
15861415,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,26/09/2020,/2e73ad3a-c21e-4278-9d0a-1164ed742a9c/30183.jpg,8.182606,77.406287,25/09/2020,species,Danaus chrysippus Linnaeus 1758,Plain Tiger:English,TAMILNADU,Kanniyakumari,September
1472872,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Castalius rosimon (Fabricius 1775),,KERALA,Thiruvananthapuram,September
1472871,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Graphium agamemnon (Linnaeus 1758),,KERALA,Thiruvananthapuram,September
1472873,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Talicada nyseus (Guérin-Méneville (1843)),,KERALA,Thiruvananthapuram,September
1659221,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Papilio demoleus Linnaeus 1758,,KERALA,Thiruvananthapuram,September
1659220,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Zizula hylax (Fabricius 1775),,KERALA,Thiruvananthapuram,September
345520,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,20/05/2014,/0c2ffa4e-6649-4f28-afed-b13072aa14f2/568.jpg,8.42449379,77.09817505,29/09/2013,species,Hypolimnas bolina Linnaeus 1758,"Great Eggfly,blue Moon Butterfly:English",KERALA,Thiruvananthapuram,September
345514,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/8b6c5b99-f2a6-4625-989c-3f4b96c6f543/57.jpg,8.42449379,77.09817505,29/09/2013,species,Papilio demoleus Linnaeus 1758,"Common Lime Butterfly, Lemon Butterfly, Lime Swallowtail, Small Citrus Butterfly, Chequered Swallowtail, Dingy Swallowtail, Citrus Swallowtail.:English",KERALA,Thiruvananthapuram,September
345510,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/6937795a-45f5-4aef-a457-a1582fd5d6ee/777.jpg,8.42449379,77.09817505,29/09/2013,species,Talicada nyseus (Guérin-Méneville (1843)),Red Pierrot:English,KERALA,Thiruvananthapuram,September
345509,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/9da792ab-9f79-41d3-a093-9feac0d7c1d6/922.jpg,8.42449379,77.09817505,29/09/2013,species,Castalius rosimon (Fabricius 1775),Common Pierrot:English,KERALA,Thiruvananthapuram,September
