catalogNumber,createdBy,placeName,flagNotes,createdOn,associatedMedia,locationLat,locationLon,fromDate,rank,scientificName,commonName,higherClassificationId,state,observedInMonth
16839610,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/d2875c49-792f-4657-bdd7-cf3324dc9c4c/1a7aef4b6c494e4c9182b931cb5b75fe.JPG,28.9154729,79.513269,01/09/2021,species,Euchrysops cnejus (Fabricius 1798),Gram Blue:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Lycaenidae#rank:family#taxonID:71910 | name:Euchrysops#rank:genus#taxonID:156164 | name:Euchrysops cnejus (Fabricius 1798)#rank:species#taxonID:156166,,September
16839599,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/a209d3c3-d0aa-4149-acbc-01cc02aea76e/3fe5068597c949f2b751cfacba442c2c.JPG,28.9154729,79.513269,01/09/2021,species,Eurema hecabe (Linnaeus 1758),Common Grass Yellow:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Eurema#rank:genus#taxonID:160666 | name:Eurema hecabe (Linnaeus 1758)#rank:species#taxonID:160677,,September
16839588,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/3dc55935-efe7-4e17-a786-2ee33243e62f/ef5ea5e60cbf49af82ad3d713b6f568a.jpg,11.3230383,79.2433528,25/12/2017,species,Cepora nerissa (Fabricius 1775),Common Gull:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Cepora#rank:genus#taxonID:71820 | name:Cepora nerissa (Fabricius 1775)#rank:species#taxonID:71825,TAMILNADU,December
16839577,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/9de1f988-b2b9-4de7-a08b-10d35b990e79/44ac050c11ee44e5a1f00b0a38f9d3f0.JPG,11.3230383,79.2433528,25/12/2017,species,Neptis hylas Linnaeus 1758,Common Sailer:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Neptis#rank:genus#taxonID:160397 | name:Neptis hylas Linnaeus 1758#rank:species#taxonID:160420,TAMILNADU,December
16839564,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/879fd2a6-b923-40f4-a253-14aa2f37650a/3459efa1ff2a4cdb92565e32f1bd75fb.JPG,28.9154729,79.513269,01/09/2021,species,Chilades pandava Horsfield 1829,Plains Cupid:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Lycaenidae#rank:family#taxonID:71910 | name:Chilades#rank:genus#taxonID:188851 | name:Chilades pandava Horsfield 1829#rank:species#taxonID:263696,,September
16839553,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/3a125cb0-bf0c-4637-ad64-993a5ea7318f/ed7b1dba5d6249ee8ac3ed02a32a6892.JPG,11.3230383,79.2433528,10/08/2017,species,Junonia almana Linnaeus 1758,Peacock Pansy:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Junonia#rank:genus#taxonID:160298 | name:Junonia almana Linnaeus 1758#rank:species#taxonID:160309,TAMILNADU,August
16839542,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/362ad4ca-766a-4d47-ad7a-a5147ba99c10/935d6ad8f4dd47d9851827abaaac1eaf.JPG,11.3230383,79.2433528,10/08/2017,species,Melanitis leda Linnaeus 1758,Common Evening Brown:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Melanitis#rank:genus#taxonID:71143 | name:Melanitis leda Linnaeus 1758#rank:species#taxonID:71145,TAMILNADU,August
16839531,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/d1c27b14-fa74-4e6a-a57a-41500d548f45/4137608fbdda4ccb8a19fc1454849dd2.JPG,28.9154729,79.513269,01/09/2021,species,Junonia almana Linnaeus 1758,Peacock Pansy:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Junonia#rank:genus#taxonID:160298 | name:Junonia almana Linnaeus 1758#rank:species#taxonID:160309,,September
16839510,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/0d9daceb-4439-4334-9b88-33f39016c381/0b799a1b3b8244e596f550de23b75225.JPG,11.3230383,79.2433528,11/08/2017,species,Papilio polytes Linnaeus 1758,Common Mormon:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Papilio#rank:genus#taxonID:72270 | name:Papilio polytes Linnaeus 1758#rank:species#taxonID:72341,TAMILNADU,August
16839499,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/f37d698a-425b-4619-890c-0348d54f4134/c53ff4c9f23d401987e1e5d3241f010e.jpg,11.3230383,79.2433528,22/03/2018,species,Acraea violae Fabricius 1775,Tawny Coster:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Acraea#rank:genus#taxonID:160538 | name:Acraea violae Fabricius 1775#rank:species#taxonID:160540,TAMILNADU,March
